edge,violation_rate,phase
nose→neck,0.051333333333333335,before
neck→ear_left,0.234,before
neck→ear_right,0.26066666666666666,before
neck→hip_left,0.024,before
neck→hip_right,0.03333333333333333,before
hip_left→tail_base,0.09333333333333334,before
hip_right→tail_base,0.08,before
nose→neck,0.019333333333333334,after
neck→ear_left,0.03133333333333333,after
neck→ear_right,0.026,after
neck→hip_left,0.016666666666666666,after
neck→hip_right,0.024666666666666667,after
hip_left→tail_base,0.03133333333333333,after
hip_right→tail_base,0.04466666666666667,after
