strategy,seed,aulc,final_f1
random,42,0.1526,0.1979
least_confidence,42,0.1537,0.2015
margin,42,0.1526,0.1891
entropy,42,0.1704,0.2134
coreset,42,0.1982,0.2391
badge,42,0.1423,0.1901
random,123,0.12,0.1676
least_confidence,123,0.1411,0.2109
margin,123,0.1326,0.1758
entropy,123,0.1227,0.1697
coreset,123,0.1148,0.1574
badge,123,0.1496,0.1975
random,456,0.1298,0.1944
least_confidence,456,0.1784,0.2364
margin,456,0.1436,0.1825
entropy,456,0.2095,0.2893
coreset,456,0.1819,0.252
badge,456,0.1576,0.2253
random,7,0.1753,0.2216
least_confidence,7,0.1614,0.1867
margin,7,0.1936,0.2615
entropy,7,0.2057,0.2486
coreset,7,0.1771,0.2084
badge,7,0.1361,0.1547
random,99,0.113,0.1763
least_confidence,99,0.1319,0.1945
margin,99,0.1457,0.1961
entropy,99,0.1606,0.2181
coreset,99,0.1557,0.1838
badge,99,0.131,0.1597
