speed_sigma,detection_n_sigma,adaptive_thresholds_k,frac_flagged,frac_speed,frac_length,frac_accel,frac_swap,frac_near_zero,is_current
6.0,3.0,6.0,0.38093302877871726,0.0,0.14854512504807194,0.022667229780910757,0.0,0.0,False
6.0,4.0,6.0,0.38093302877871726,0.0,0.14854512504807194,0.022667229780910757,0.0,0.0,False
6.0,6.0,6.0,0.38093302877871726,0.0,0.14854512504807194,0.022667229780910757,0.0,0.0,False
6.0,5.0,6.0,0.38093302877871726,0.0,0.14854512504807194,0.022667229780910757,0.0,0.0,False
5.0,5.0,6.0,0.3913701688078305,0.0,0.14854512504807194,0.042837177664045094,0.0,0.0,False
5.0,6.0,6.0,0.3913701688078305,0.0,0.14854512504807194,0.042837177664045094,0.0,0.0,False
5.0,4.0,6.0,0.3913701688078305,0.0,0.14854512504807194,0.042837177664045094,0.0,0.0,False
5.0,3.0,6.0,0.3913701688078305,0.0,0.14854512504807194,0.042837177664045094,0.0,0.0,False
4.0,5.0,6.0,0.4140492187400283,0.005425297781370933,0.14854512504807194,0.08224169396216677,0.0,0.0,False
4.0,6.0,6.0,0.4140492187400283,0.005425297781370933,0.14854512504807194,0.08224169396216677,0.0,0.0,False
4.0,4.0,6.0,0.4140492187400283,0.005425297781370933,0.14854512504807194,0.08224169396216677,0.0,0.0,False
4.0,3.0,6.0,0.4140492187400283,0.005425297781370933,0.14854512504807194,0.08224169396216677,0.0,0.0,False
3.0,3.0,6.0,0.4819981766440913,0.11405202234939307,0.14854512504807194,0.15980370706735164,0.0,0.0,False
3.0,4.0,6.0,0.4819981766440913,0.11405202234939307,0.14854512504807194,0.15980370706735164,0.0,0.0,False
3.0,6.0,6.0,0.4819981766440913,0.11405202234939307,0.14854512504807194,0.15980370706735164,0.0,0.0,False
3.0,5.0,6.0,0.4819981766440913,0.11405202234939307,0.14854512504807194,0.15980370706735164,0.0,0.0,False
6.0,5.0,4.5,0.5045489035893911,0.0,0.29717851488072056,0.022667229780910757,0.0,0.0,False
6.0,6.0,4.5,0.5045489035893911,0.0,0.29717851488072056,0.022667229780910757,0.0,0.0,False
6.0,4.0,4.5,0.5045489035893911,0.0,0.29717851488072056,0.022667229780910757,0.0,0.0,False
6.0,3.0,4.5,0.5045489035893911,0.0,0.29717851488072056,0.022667229780910757,0.0,0.0,False
5.0,3.0,4.5,0.5125729900139362,0.0,0.29717851488072056,0.042837177664045094,0.0,0.0,False
5.0,4.0,4.5,0.5125729900139362,0.0,0.29717851488072056,0.042837177664045094,0.0,0.0,False
5.0,6.0,4.5,0.5125729900139362,0.0,0.29717851488072056,0.042837177664045094,0.0,0.0,False
5.0,5.0,4.5,0.5125729900139362,0.0,0.29717851488072056,0.042837177664045094,0.0,0.0,False
4.0,3.0,4.5,0.5304166596547806,0.005425297781370933,0.29717851488072056,0.08224169396216677,0.0,0.0,False
4.0,4.0,4.5,0.5304166596547806,0.005425297781370933,0.29717851488072056,0.08224169396216677,0.0,0.0,False
4.0,6.0,4.5,0.5304166596547806,0.005425297781370933,0.29717851488072056,0.08224169396216677,0.0,0.0,False
4.0,5.0,4.5,0.5304166596547806,0.005425297781370933,0.29717851488072056,0.08224169396216677,0.0,0.0,False
3.0,5.0,4.5,0.5840454646237667,0.11405202234939307,0.29717851488072056,0.15980370706735164,0.0,0.0,False
3.0,6.0,4.5,0.5840454646237667,0.11405202234939307,0.29717851488072056,0.15980370706735164,0.0,0.0,False
3.0,4.0,4.5,0.5840454646237667,0.11405202234939307,0.29717851488072056,0.15980370706735164,0.0,0.0,False
3.0,3.0,4.5,0.5840454646237667,0.11405202234939307,0.29717851488072056,0.15980370706735164,0.0,0.0,False
6.0,6.0,3.5,0.6268256805832498,0.0,0.4445642206957191,0.022667229780910757,0.0,0.0,False
6.0,5.0,3.5,0.6268256805832498,0.0,0.4445642206957191,0.022667229780910757,0.0,0.0,False
6.0,3.0,3.5,0.6268256805832498,0.0,0.4445642206957191,0.022667229780910757,0.0,0.0,False
6.0,4.0,3.5,0.6268256805832498,0.0,0.4445642206957191,0.022667229780910757,0.0,0.0,False
5.0,4.0,3.5,0.6329151380956113,0.0,0.4445642206957191,0.042837177664045094,0.0,0.0,False
5.0,3.0,3.5,0.6329151380956113,0.0,0.4445642206957191,0.042837177664045094,0.0,0.0,False
5.0,5.0,3.5,0.6329151380956113,0.0,0.4445642206957191,0.042837177664045094,0.0,0.0,False
5.0,6.0,3.5,0.6329151380956113,0.0,0.4445642206957191,0.042837177664045094,0.0,0.0,False
4.0,4.0,3.5,0.646201254247268,0.005425297781370933,0.4445642206957191,0.08224169396216677,0.0,0.0,False
4.0,3.0,3.5,0.646201254247268,0.005425297781370933,0.4445642206957191,0.08224169396216677,0.0,0.0,False
4.0,5.0,3.5,0.646201254247268,0.005425297781370933,0.4445642206957191,0.08224169396216677,0.0,0.0,False
4.0,6.0,3.5,0.646201254247268,0.005425297781370933,0.4445642206957191,0.08224169396216677,0.0,0.0,False
3.0,6.0,3.5,0.685625272186484,0.11405202234939307,0.4445642206957191,0.15980370706735164,0.0,0.0,False
3.0,5.0,3.5,0.685625272186484,0.11405202234939307,0.4445642206957191,0.15980370706735164,0.0,0.0,False
3.0,3.0,3.5,0.685625272186484,0.11405202234939307,0.4445642206957191,0.15980370706735164,0.0,0.0,False
3.0,4.0,3.5,0.685625272186484,0.11405202234939307,0.4445642206957191,0.15980370706735164,0.0,0.0,False
6.0,4.0,2.5,0.7754710112260025,0.0,0.6234410773932906,0.022667229780910757,0.0,0.0,False
6.0,3.0,2.5,0.7754710112260025,0.0,0.6234410773932906,0.022667229780910757,0.0,0.0,False
6.0,5.0,2.5,0.7754710112260025,0.0,0.6234410773932906,0.022667229780910757,0.0,0.0,False
6.0,6.0,2.5,0.7754710112260025,0.0,0.6234410773932906,0.022667229780910757,0.0,0.0,False
5.0,6.0,2.5,0.7793849725711266,0.0,0.6234410773932906,0.042837177664045094,0.0,0.0,False
5.0,5.0,2.5,0.7793849725711266,0.0,0.6234410773932906,0.042837177664045094,0.0,0.0,False
5.0,3.0,2.5,0.7793849725711266,0.0,0.6234410773932906,0.042837177664045094,0.0,0.0,False
5.0,4.0,2.5,0.7793849725711266,0.0,0.6234410773932906,0.042837177664045094,0.0,0.0,False
4.0,6.0,2.5,0.787198886376691,0.005425297781370933,0.6234410773932906,0.08224169396216677,0.0,0.0,False
4.0,5.0,2.5,0.787198886376691,0.005425297781370933,0.6234410773932906,0.08224169396216677,0.0,0.0,False
4.0,3.0,2.5,0.787198886376691,0.005425297781370933,0.6234410773932906,0.08224169396216677,0.0,0.0,False
4.0,4.0,2.5,0.787198886376691,0.005425297781370933,0.6234410773932906,0.08224169396216677,0.0,0.0,False
3.0,4.0,2.5,0.8104670074439759,0.11405202234939307,0.6234410773932906,0.15980370706735164,0.0,0.0,False
3.0,3.0,2.5,0.8104670074439759,0.11405202234939307,0.6234410773932906,0.15980370706735164,0.0,0.0,True
3.0,5.0,2.5,0.8104670074439759,0.11405202234939307,0.6234410773932906,0.15980370706735164,0.0,0.0,False
3.0,6.0,2.5,0.8104670074439759,0.11405202234939307,0.6234410773932906,0.15980370706735164,0.0,0.0,False
