idx,feature,mi,drift,vif,max_abs_corr,kept,drop_reason
56,dist_nose_a_ear_b,0.4155,37.3437,12.6715,0.9114,True,
55,dist_nose_a_neck_b,0.3679,28.0689,12.5845,0.9097,True,
54,dist_nose_b_tail_a,0.2846,28.5519,13.6345,0.9345,True,
59,angle_relative,0.2737,8.9987,1.0553,0.1218,True,
11,nose_speed,0.24,26.3157,3.1691,0.7908,True,
41,hip_tail_angle_left,0.2345,23.6442,3.2278,0.6763,True,
23,ear_right_speed,0.2212,18.5322,2.1292,0.6454,True,
19,ear_left_speed,0.2207,10.4235,2.1554,0.6525,True,
42,hip_tail_angle_right,0.2109,21.6463,3.2256,0.6763,True,
63,dz_centroid_diff,0.2098,511.2466,2.2065,0.628,True,
38,body_angle_vel,0.202,0.3978,1.057,0.2235,True,
46,dz_neck_hip_left,0.1752,86.3796,1000000000.0,0.5882,True,
34,tail_base_vy,0.167,0.8447,1000000000.0,0.7781,True,
12,nose_accel,0.1558,13.118,1.8867,0.5731,True,
20,ear_left_accel,0.1521,2.8473,1.6988,0.4942,True,
21,ear_right_vx,0.152,0.7928,1000000000.0,0.5819,True,
39,body_length,0.1488,66.8816,5.1436,0.643,True,
37,body_angle,0.1438,37.5646,1.1068,0.1908,True,
24,ear_right_accel,0.1417,6.3519,1.736,0.4942,True,
35,tail_base_speed,0.1404,17.2543,4.2013,0.7908,True,
18,ear_left_vy,0.1384,0.4623,1000000000.0,0.5818,True,
47,dz_neck_hip_right,0.1328,110.3875,1000000000.0,0.6218,True,
50,dz_sum,0.1309,39.8988,1000000000.0,0.628,True,
33,tail_base_vx,0.1207,1.5461,1000000000.0,0.7658,True,
22,ear_right_vy,0.1193,1.2251,1000000000.0,0.5555,True,
17,ear_left_vx,0.1165,2.2095,1000000000.0,0.5689,True,
49,dz_hip_right_tail_base,0.1002,21.5161,1000000000.0,0.5851,True,
14,neck_vy,0.0944,0.9577,1000000000.0,0.6448,True,
25,hip_left_vx,0.0932,1.2139,1000000000.0,0.529,True,
31,hip_right_speed,0.0918,19.2316,1.9548,0.599,True,
26,hip_left_vy,0.0908,1.0832,1000000000.0,0.4977,True,
29,hip_right_vx,0.0811,1.5553,1000000000.0,0.5268,True,
15,neck_speed,0.079,15.8874,2.5764,0.6899,True,
30,hip_right_vy,0.0761,0.7905,1000000000.0,0.5324,True,
27,hip_left_speed,0.076,24.8039,1.8201,0.5724,True,
13,neck_vx,0.073,1.2588,1000000000.0,0.6421,True,
48,dz_hip_left_tail_base,0.0727,24.2491,1000000000.0,0.5629,True,
40,neck_spine_angle,0.0494,10.9686,1.5828,0.4637,True,
36,tail_base_accel,0.0446,7.0993,2.121,0.5731,True,
8,centroid_jerk,0.0445,0.0,1.4624,0.5524,True,
28,hip_left_accel,0.0435,10.9931,1.4679,0.4297,True,
51,dist_centroid,0.0418,0.0,1.0729,0.19,True,
32,hip_right_accel,0.0403,8.124,1.5345,0.4537,True,
1,centroid_y,0.0399,0.0,1.3213,0.4898,True,
7,centroid_accel,0.0328,0.0,1.0651,0.169,True,
44,dz_neck_ear_left,0.0305,7.4918,1000000000.0,0.2432,True,
16,neck_accel,0.0298,18.232,1.9273,0.5435,True,
62,speed_relative,0.0297,0.0,1.0071,0.0433,True,
4,centroid_speed,0.0238,0.0,1.4818,0.5524,True,
6,centroid_ay,0.0222,0.0,1.3176,0.4898,True,
5,centroid_ax,0.0212,0.0,1.3182,0.4898,True,
60,approach_rate,0.0209,0.0,1.0016,0.0105,True,
61,facing_b,0.0176,0.7914,1.0074,0.0709,True,
3,centroid_vy,0.0052,0.0,1.0029,0.0178,True,
0,centroid_x,0.0,0.0,1.3248,0.4898,True,
2,centroid_vx,0.0,0.0,1.0021,0.011,True,
58,sniff_site_ratio,0.4027,30.8775,39.0697,0.9611,False,vif=11.6>10.0
52,dist_nose_nose,0.3697,50.6257,13.1893,0.9114,False,vif=10.8>10.0
57,dist_nose_a_hip_b,0.3586,50.5842,20.8314,0.951,False,collinear(|r|>0.95) with sniff_site_ratio
53,dist_nose_a_tail_b,0.3488,50.5368,50.0393,0.9611,False,collinear(|r|>0.95) with sniff_site_ratio
10,nose_vy,0.1526,1.0529,1000000000.0,0.7781,False,vif=1000000000.0>10.0
9,nose_vx,0.1352,1.5037,1000000000.0,0.7658,False,vif=1000000000.0>10.0
43,dz_nose_neck,0.0736,27.594,1000000000.0,0.4614,False,vif=1000000000.0>10.0
45,dz_neck_ear_right,0.0341,45.0525,1000000000.0,0.2138,False,unstable(drift=45.1) & low-mi(0.034)
