test_video,corr,raw,delta,q_violation
1185502231,0.5274,0.5271,0.0003,0.8769
1296577409,0.2459,0.2579,-0.012,0.8196
1495692909,0.5446,0.5389,0.0057,0.8909
1522870122,0.521,0.5098,0.0112,0.8692
1682584277,0.4736,0.4448,0.0288,0.9238
169344990,0.5834,0.5994,-0.016,0.8428
1733083885,0.5776,0.6039,-0.0263,0.8561
1767632325,0.2274,0.2365,-0.0091,0.7604
1817903677,0.1563,0.1057,0.0506,0.8466
1842114740,0.484,0.4723,0.0117,0.8906
2097395874,0.5701,0.5739,-0.0038,0.8173
464367887,0.6972,0.7067,-0.0095,0.8454
470631683,0.4587,0.5622,-0.1035,0.8912
537514760,0.6068,0.5795,0.0273,0.8894
662173177,0.4538,0.4708,-0.017,0.8276
687327340,0.8174,0.8243,-0.0069,0.6892
865512963,0.7484,0.7495,-0.0011,0.8059
867864385,0.8454,0.8442,0.0012,0.7965
87423842,0.5772,0.5609,0.0163,0.9104
99618595,0.4692,0.4935,-0.0243,0.8349
