test_video,corr,raw,delta,q_violation
1185502231,0.5347,0.5271,0.0076,0.8769
1296577409,0.2596,0.2579,0.0017,0.8196
1495692909,0.5684,0.5389,0.0295,0.8909
1522870122,0.5119,0.5098,0.0021,0.8692
1682584277,0.433,0.4448,-0.0118,0.9238
169344990,0.5955,0.5994,-0.0039,0.8428
1733083885,0.5697,0.6039,-0.0342,0.8561
1767632325,0.1604,0.2365,-0.0761,0.7604
1817903677,0.1095,0.1057,0.0038,0.8466
1842114740,0.467,0.4723,-0.0053,0.8906
2097395874,0.5738,0.5739,-0.0001,0.8173
464367887,0.7019,0.7067,-0.0048,0.8454
470631683,0.5379,0.5622,-0.0243,0.8912
537514760,0.593,0.5795,0.0135,0.8894
662173177,0.4557,0.4708,-0.0151,0.8276
687327340,0.8143,0.8243,-0.01,0.6892
865512963,0.7433,0.7495,-0.0062,0.8059
867864385,0.8518,0.8442,0.0076,0.7965
87423842,0.57,0.5609,0.0091,0.9104
99618595,0.5076,0.4935,0.0141,0.8349
