test_video,q,tau,f1_event_raw,f1_event_corr,f1_event_gated,routed
1185502231,0.8768902227865636,0.8561,0.5271,0.5347,0.5347,corr
1296577409,0.8195603500915938,0.8561,0.2579,0.2596,0.2579,raw
1495692909,0.890930526800092,0.9238,0.5389,0.5684,0.5389,raw
1522870122,0.8691581175704283,0.8561,0.5098,0.5119,0.5119,corr
1682584277,0.9237869959037673,0.8561,0.4448,0.433,0.433,corr
169344990,0.8428061963668785,0.8561,0.5994,0.5955,0.5994,raw
1733083885,0.8560887719498942,0.8276,0.6039,0.5697,0.5697,corr
1767632325,0.7603700691337942,0.8561,0.2365,0.1604,0.2365,raw
1817903677,0.8465674779655534,0.8561,0.1057,0.1095,0.1057,raw
1842114740,0.8905546371772217,0.8561,0.4723,0.467,0.467,corr
2097395874,0.8173499457167968,0.8561,0.5739,0.5738,0.5739,raw
464367887,0.845380092398152,0.8561,0.7067,0.7019,0.7067,raw
470631683,0.8912015899446742,0.8561,0.5622,0.5379,0.5379,corr
537514760,0.8893727161997564,0.8561,0.5795,0.593,0.593,corr
662173177,0.8276074564782006,0.8561,0.4708,0.4557,0.4708,raw
687327340,0.6891929090508698,0.8561,0.8243,0.8143,0.8243,raw
865512963,0.8058650065530799,0.8561,0.7495,0.7433,0.7495,raw
867864385,0.7964606389642932,0.8561,0.8442,0.8518,0.8442,raw
87423842,0.9104261796042619,0.8561,0.5609,0.57,0.57,corr
99618595,0.834920904915802,0.8561,0.4935,0.5076,0.4935,raw
