condition,strategy,seed,aulc,final_f1,best_f1,elapsed_s
raw,random,7,0.0457,0.0622,0.0704,27.5
raw,random,123,0.0516,0.0427,0.0761,27.8
raw,random,456,0.05,0.0606,0.0739,27.8
raw,random,99,0.0509,0.0478,0.079,27.8
raw,random,42,0.0534,0.0565,0.0784,27.9
raw,least_confidence,42,0.0348,0.0444,0.0511,31.4
raw,least_confidence,123,0.0536,0.043,0.0735,27.2
raw,least_confidence,456,0.0342,0.0626,0.0626,27.7
raw,margin,42,0.0387,0.0454,0.0582,27.7
raw,least_confidence,99,0.0494,0.0744,0.0744,28.0
raw,least_confidence,7,0.0368,0.0471,0.0544,28.2
raw,margin,123,0.0461,0.0387,0.0684,27.5
raw,margin,456,0.0548,0.0598,0.0739,27.5
raw,margin,7,0.0423,0.0654,0.0704,27.6
raw,margin,99,0.0492,0.0603,0.0688,27.6
raw,entropy,42,0.0523,0.0491,0.0811,27.6
raw,entropy,123,0.0474,0.0576,0.071,28.3
raw,entropy,456,0.0422,0.0502,0.0616,27.5
raw,entropy,7,0.0378,0.0459,0.0604,27.3
raw,entropy,99,0.0397,0.0274,0.0842,27.8
raw,coreset,42,0.0484,0.0465,0.0638,28.0
raw,coreset,123,0.0526,0.0588,0.0718,27.9
raw,coreset,456,0.0572,0.0585,0.0864,28.2
raw,coreset,7,0.0454,0.0643,0.0643,28.0
raw,coreset,99,0.049,0.0536,0.0587,28.1
raw,badge,42,0.0442,0.0388,0.0697,33.9
raw,badge,123,0.0554,0.0686,0.0727,33.8
raw,badge,456,0.0424,0.0746,0.0746,33.8
raw,badge,7,0.06,0.0566,0.1481,33.7
raw,badge,99,0.0498,0.0737,0.0737,33.5
corr,random,123,0.0539,0.0848,0.0848,33.7
corr,random,99,0.0508,0.0666,0.0666,33.9
corr,random,42,0.0428,0.0559,0.0559,33.9
corr,random,456,0.0351,0.0411,0.0529,34.0
corr,random,7,0.0479,0.0467,0.07,34.0
corr,least_confidence,42,0.0333,0.0301,0.054,38.8
corr,least_confidence,123,0.0431,0.0498,0.0667,36.3
corr,least_confidence,456,0.0253,0.0258,0.0401,36.4
corr,margin,42,0.0478,0.0403,0.0944,36.5
corr,least_confidence,99,0.0461,0.0682,0.0968,36.7
corr,least_confidence,7,0.0454,0.041,0.0565,36.8
corr,margin,123,0.0479,0.07,0.07,36.3
corr,margin,456,0.0426,0.0298,0.077,36.1
corr,margin,99,0.0494,0.0514,0.0578,36.0
corr,margin,7,0.045,0.0511,0.0673,36.4
corr,entropy,123,0.0481,0.0476,0.0639,36.1
corr,entropy,42,0.0306,0.041,0.0527,36.3
corr,entropy,456,0.0358,0.0409,0.0511,36.1
corr,entropy,7,0.0403,0.043,0.0542,32.8
corr,entropy,99,0.0454,0.0459,0.0635,33.0
corr,coreset,42,0.0478,0.064,0.0711,32.9
corr,coreset,123,0.0486,0.0352,0.0728,32.8
corr,coreset,456,0.0316,0.0415,0.047,33.0
corr,coreset,7,0.0453,0.0475,0.0785,31.6
corr,coreset,99,0.0471,0.0764,0.0811,28.9
corr,badge,123,0.0483,0.0637,0.0667,33.9
corr,badge,42,0.0393,0.0597,0.0738,34.0
corr,badge,456,0.0415,0.0659,0.0715,34.0
corr,badge,7,0.0424,0.0611,0.0611,33.9
corr,badge,99,0.0416,0.0403,0.0744,33.3
