condition,strategy,seed,aulc,final_f1,best_f1,elapsed_s
raw,random,7,0.0435,0.0644,0.0644,28.2
raw,random,42,0.0436,0.044,0.0658,28.3
raw,random,123,0.0453,0.0458,0.064,28.5
raw,random,99,0.0343,0.059,0.059,28.6
raw,random,456,0.0442,0.0565,0.0732,28.6
raw,least_confidence,42,0.0324,0.0265,0.0474,32.3
raw,least_confidence,123,0.0276,0.0241,0.0431,27.8
raw,least_confidence,99,0.0371,0.0237,0.0507,27.8
raw,least_confidence,456,0.0414,0.0487,0.0605,28.1
raw,margin,42,0.0458,0.0541,0.0765,27.9
raw,least_confidence,7,0.0329,0.0299,0.0627,28.4
raw,margin,123,0.0399,0.0393,0.0592,27.5
raw,margin,456,0.0409,0.0545,0.0545,27.5
raw,entropy,42,0.0268,0.0297,0.0422,27.6
raw,margin,7,0.0412,0.0412,0.0508,28.2
raw,margin,99,0.0388,0.0413,0.0572,28.2
raw,entropy,123,0.0348,0.0285,0.0534,28.1
raw,entropy,456,0.0372,0.0698,0.0698,27.7
raw,entropy,7,0.0372,0.0613,0.0613,27.3
raw,entropy,99,0.0232,0.0426,0.0426,27.7
raw,coreset,123,0.0367,0.0277,0.0592,27.9
raw,coreset,42,0.0443,0.0669,0.0669,28.0
raw,coreset,456,0.0451,0.0354,0.0695,28.6
raw,coreset,7,0.0358,0.0324,0.0526,28.1
raw,coreset,99,0.0417,0.0234,0.07,28.5
raw,badge,42,0.0407,0.0551,0.058,33.9
raw,badge,456,0.0407,0.0287,0.0619,33.8
raw,badge,123,0.0394,0.0378,0.0493,34.2
raw,badge,7,0.0438,0.0526,0.069,34.1
raw,badge,99,0.0361,0.0574,0.0574,33.3
corr,random,7,0.0356,0.0493,0.0526,27.5
corr,random,456,0.0338,0.0454,0.0508,27.7
corr,random,99,0.0402,0.0454,0.0546,27.7
corr,random,123,0.0368,0.0583,0.0583,27.9
corr,random,42,0.0439,0.0424,0.0599,27.9
corr,least_confidence,42,0.0365,0.0212,0.0549,31.5
corr,least_confidence,123,0.0296,0.0226,0.0427,27.2
corr,margin,42,0.036,0.0206,0.0614,27.2
corr,least_confidence,456,0.0357,0.0482,0.0482,27.5
corr,least_confidence,7,0.0319,0.0245,0.0442,27.5
corr,least_confidence,99,0.0283,0.0414,0.0414,27.7
corr,margin,123,0.0425,0.0454,0.0562,27.1
corr,margin,456,0.0373,0.0406,0.059,26.0
corr,margin,7,0.0295,0.0403,0.0466,26.2
corr,margin,99,0.0365,0.0183,0.0452,26.4
corr,entropy,42,0.0336,0.0308,0.0516,26.4
corr,entropy,123,0.0299,0.026,0.0475,26.6
corr,entropy,456,0.0283,0.0457,0.0484,26.0
corr,entropy,7,0.0304,0.044,0.0495,27.4
corr,entropy,99,0.0245,0.0507,0.0507,27.4
corr,coreset,42,0.0412,0.0562,0.0562,27.9
corr,coreset,123,0.0406,0.0544,0.0616,27.9
corr,coreset,456,0.0393,0.038,0.0645,28.1
corr,coreset,7,0.0367,0.0472,0.0646,27.8
corr,coreset,99,0.0347,0.0476,0.0563,28.3
corr,badge,42,0.0381,0.0474,0.0533,33.3
corr,badge,123,0.0377,0.0529,0.054,33.4
corr,badge,456,0.0505,0.0487,0.0807,33.5
corr,badge,7,0.0372,0.0483,0.0492,33.5
corr,badge,99,0.0346,0.0453,0.0502,32.7
