condition,strategy,aulc_mean,aulc_std,delta_vs_random,wilcoxon_p
corr,badge,0.0426,0.0034,-0.0035,0.4375
corr,coreset,0.0441,0.0071,-0.002,0.4375
corr,entropy,0.04,0.0071,-0.0061,0.125
corr,least_confidence,0.0386,0.0091,-0.0075,0.0625
corr,margin,0.0465,0.0027,0.0004,1.0
corr,random,0.0461,0.0074,0.0,
raw,badge,0.0504,0.0074,0.0,1.0
raw,coreset,0.0505,0.0045,0.0002,1.0
raw,entropy,0.0439,0.0059,-0.0064,0.0625
raw,least_confidence,0.0418,0.0091,-0.0086,0.1875
raw,margin,0.0462,0.0062,-0.0041,0.3125
raw,random,0.0503,0.0029,0.0,
