condition,strategy,aulc_mean,aulc_std,delta_vs_random,wilcoxon_p
corr,badge,0.0396,0.0062,0.0016,1.0
corr,coreset,0.0385,0.0027,0.0004,0.8125
corr,entropy,0.0293,0.0033,-0.0087,0.0625
corr,least_confidence,0.0324,0.0036,-0.0057,0.125
corr,margin,0.0364,0.0046,-0.0017,0.4375
corr,random,0.0381,0.004,0.0,
raw,badge,0.0401,0.0028,-0.002,0.3125
raw,coreset,0.0407,0.0043,-0.0015,0.8125
raw,entropy,0.0318,0.0064,-0.0103,0.0625
raw,least_confidence,0.0343,0.0052,-0.0079,0.1875
raw,margin,0.0413,0.0027,-0.0009,0.625
raw,random,0.0422,0.0045,0.0,
