condition,model,score_full,score_public_32,score_private_68,boot_mean,boot_std,boot_ci_lo,boot_ci_hi,boot_range,lab_CRIM13,lab_CalMS21_supplemental,lab_CalMS21_task1,lab_CalMS21_task2,lab_CautiousGiraffe,lab_ElegantMink,lab_InvincibleJellyfish,lab_JovialSwallow,lab_TranquilPanther
raw,tcn,0.2455,0.2744,0.2438,0.2637,0.0503,0.167,0.3614,0.1944,0.2879,0.204,0.3261,0.4583,0.0356,0.2782,0.3741,0.2134,0.032
raw,bilstm,0.2273,0.2637,0.2544,0.2521,0.0496,0.1619,0.351,0.1891,0.2521,0.1995,0.317,0.48,0.0596,0.2448,0.2914,0.1872,0.0136
raw,histgb,0.2241,0.29,0.2351,0.2481,0.053,0.1528,0.3493,0.1965,0.1835,0.2076,0.3165,0.4663,0.0269,0.2596,0.3346,0.196,0.0257
raw,cnn_lstm,0.2215,0.2554,0.2547,0.2481,0.0447,0.1586,0.3432,0.1846,0.2727,0.156,0.3034,0.363,0.0731,0.1702,0.3878,0.2055,0.062
corr,tcn,0.2212,0.2815,0.2263,0.2385,0.05,0.1448,0.3409,0.1961,0.2342,0.1925,0.2921,0.3423,0.0396,0.2714,0.3503,0.2075,0.0613
raw,gru,0.2104,0.2487,0.2236,0.2341,0.0517,0.143,0.3362,0.1932,0.2265,0.1522,0.3163,0.4272,0.0277,0.1534,0.3546,0.2105,0.0249
corr,cnn_lstm,0.1885,0.2267,0.201,0.2147,0.05,0.1195,0.3178,0.1983,0.2369,0.1871,0.2719,0.2961,0.0485,0.128,0.3267,0.1944,0.0068
corr,gru,0.188,0.2224,0.2046,0.2158,0.0511,0.1251,0.3174,0.1923,0.2367,0.1741,0.2966,0.3519,0.0425,0.1568,0.25,0.1775,0.006
corr,bilstm,0.1877,0.2443,0.1919,0.2133,0.0531,0.1166,0.3197,0.2031,0.1898,0.1658,0.2826,0.3375,0.017,0.1427,0.3004,0.2083,0.0454
corr,histgb,0.1822,0.2086,0.1937,0.209,0.0494,0.1173,0.3066,0.1893,0.1915,0.2089,0.2518,0.3316,0.0472,0.0961,0.3125,0.1911,0.0096
raw,rf,0.0842,0.1033,0.0887,0.1035,0.0368,0.0319,0.1745,0.1425,0.0783,0.0619,0.1003,0.3022,0.0326,0.0,0.1827,0.0,0.0
corr,rf,0.0576,0.102,0.0658,0.0784,0.0349,0.0214,0.1534,0.132,0.011,0.0567,0.1031,0.1593,0.0,0.0,0.1728,0.0154,0.0
