condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
raw,CalMS21_task1,CalMS21_task1,0.1211,6,2668,1482,10.1
raw,CalMS21_task1,JovialSwallow,0.0606,2,4150,1893,10.17
raw,CalMS21_task1,InvincibleJellyfish,0.0382,3,4150,2500,10.18
raw,CalMS21_task1,TranquilPanther,0.018,2,4150,1844,10.18
raw,CalMS21_task1,CalMS21_task2,0.3326,3,4150,5452,10.26
raw,CalMS21_task1,CalMS21_supplemental,0.0517,7,4150,5322,10.24
raw,CalMS21_task2,CalMS21_task2,0.5467,2,3772,1680,11.02
raw,CalMS21_task1,CRIM13,0.1234,4,4150,3768,11.31
raw,CalMS21_task1,ElegantMink,0.0292,2,4150,1893,11.33
raw,CalMS21_task2,CalMS21_task1,0.1635,3,5452,4150,11.31
raw,CalMS21_task1,CautiousGiraffe,0.0144,3,4150,3767,11.34
raw,CalMS21_task2,CalMS21_supplemental,0.0546,3,5452,5322,11.37
raw,CalMS21_task2,JovialSwallow,0.0832,2,5452,1893,11.69
raw,CalMS21_task2,InvincibleJellyfish,0.1071,2,5452,2500,12.52
raw,CalMS21_task2,ElegantMink,0.0465,1,5452,1893,12.28
raw,CalMS21_task2,TranquilPanther,0.0242,1,5452,1844,12.56
raw,CalMS21_task2,CRIM13,0.1124,3,5452,3768,12.43
raw,CalMS21_task2,CautiousGiraffe,0.0141,1,5452,3767,12.87
raw,CalMS21_supplemental,CalMS21_supplemental,0.2299,3,3642,1680,12.05
raw,CalMS21_supplemental,CalMS21_task1,0.0716,7,5322,4150,12.72
raw,CalMS21_supplemental,CalMS21_task2,0.1505,3,5322,5452,12.74
raw,CalMS21_supplemental,JovialSwallow,0.0069,2,5322,1893,12.72
raw,CalMS21_supplemental,InvincibleJellyfish,0.0323,3,5322,2500,12.85
raw,CalMS21_supplemental,TranquilPanther,0.0,2,5322,1844,14.42
raw,JovialSwallow,CalMS21_task2,0.0119,2,1893,5452,7.55
raw,JovialSwallow,CalMS21_task1,0.002,2,1893,4150,7.82
raw,CalMS21_supplemental,ElegantMink,0.0053,1,5322,1893,9.39
raw,CalMS21_supplemental,CRIM13,0.0096,4,5322,3768,9.54
raw,JovialSwallow,CalMS21_supplemental,0.0038,2,1893,5322,5.95
raw,CalMS21_supplemental,CautiousGiraffe,0.0,3,5322,3767,9.51
raw,JovialSwallow,JovialSwallow,0.0405,1,1250,643,1.88
raw,JovialSwallow,InvincibleJellyfish,0.0,2,1893,2500,1.99
raw,JovialSwallow,TranquilPanther,0.0023,1,1893,1844,3.36
raw,JovialSwallow,CRIM13,0.0,2,1893,3768,3.42
raw,JovialSwallow,ElegantMink,0.0,1,1893,1893,4.04
raw,JovialSwallow,CautiousGiraffe,0.0,2,1893,3767,4.27
raw,InvincibleJellyfish,CalMS21_task1,0.0933,3,2500,4150,4.87
raw,InvincibleJellyfish,CalMS21_task2,0.2918,2,2500,5452,5.51
raw,InvincibleJellyfish,JovialSwallow,0.0,2,2500,1893,5.01
raw,InvincibleJellyfish,CalMS21_supplemental,0.0488,3,2500,5322,5.23
raw,InvincibleJellyfish,InvincibleJellyfish,0.1164,5,1750,750,5.13
raw,InvincibleJellyfish,TranquilPanther,0.0,3,2500,1844,5.75
raw,InvincibleJellyfish,CRIM13,0.049,3,2500,3768,6.22
raw,InvincibleJellyfish,ElegantMink,0.0029,1,2500,1893,5.8
raw,TranquilPanther,CalMS21_task1,0.0,2,1844,4150,4.09
raw,TranquilPanther,CalMS21_task2,0.0,1,1844,5452,4.22
raw,InvincibleJellyfish,CautiousGiraffe,0.0,3,2500,3767,4.93
raw,TranquilPanther,CalMS21_supplemental,0.0,2,1844,5322,3.28
raw,TranquilPanther,TranquilPanther,0.0,3,1457,387,2.18
raw,TranquilPanther,JovialSwallow,0.0,1,1844,1893,2.67
raw,TranquilPanther,InvincibleJellyfish,0.0,3,1844,2500,2.85
raw,TranquilPanther,ElegantMink,0.0,1,1844,1893,4.06
raw,TranquilPanther,CRIM13,0.0,3,1844,3768,4.16
