condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
raw,CalMS21_task1,CalMS21_task1,0.0284,6,10650,5922,35.35
raw,CalMS21_task1,InvincibleJellyfish,0.0039,3,16572,9980,45.23
raw,CalMS21_task1,TranquilPanther,0.0023,2,16572,13731,45.37
raw,CalMS21_task1,JovialSwallow,0.0626,2,16572,11927,45.55
raw,CalMS21_task1,CalMS21_task2,0.1488,3,16572,21770,45.5
raw,CalMS21_task1,CalMS21_supplemental,0.0063,7,16572,21252,45.75
raw,CalMS21_task1,CRIM13,0.0197,4,16572,15028,43.7
raw,CalMS21_task2,CalMS21_task2,0.4164,2,15062,6708,44.23
raw,CalMS21_task1,ElegantMink,0.0225,4,16572,12101,46.26
raw,CalMS21_task1,CautiousGiraffe,0.0037,3,16572,18802,46.14
raw,CalMS21_task2,CalMS21_task1,0.1404,3,21770,16572,55.59
raw,CalMS21_task2,CalMS21_supplemental,0.0405,3,21770,21252,57.09
raw,CalMS21_task2,JovialSwallow,0.1076,2,21770,11927,58.68
raw,CalMS21_task2,InvincibleJellyfish,0.036,2,21770,9980,58.52
raw,CalMS21_task2,TranquilPanther,0.025,1,21770,13731,57.49
raw,CalMS21_task2,CRIM13,0.0711,3,21770,15028,57.62
raw,CalMS21_task2,ElegantMink,0.0425,3,21770,12101,56.63
raw,CalMS21_task2,CautiousGiraffe,0.0246,1,21770,18802,56.4
raw,CalMS21_supplemental,CalMS21_supplemental,0.0752,3,14544,6708,44.6
raw,CalMS21_supplemental,CalMS21_task1,0.0228,7,21252,16572,61.01
raw,CalMS21_supplemental,CalMS21_task2,0.0589,3,21252,21770,62.31
raw,CalMS21_supplemental,JovialSwallow,0.0,2,21252,11927,62.11
raw,CalMS21_supplemental,InvincibleJellyfish,0.0081,3,21252,9980,63.63
raw,CalMS21_supplemental,TranquilPanther,0.0,2,21252,13731,62.94
raw,JovialSwallow,CalMS21_task1,0.0,2,11927,16572,34.69
raw,CalMS21_supplemental,CRIM13,0.0,4,21252,15028,60.45
raw,JovialSwallow,CalMS21_task2,0.0025,2,11927,21770,34.29
raw,JovialSwallow,CalMS21_supplemental,0.0008,2,11927,21252,33.55
raw,CalMS21_supplemental,ElegantMink,0.0025,4,21252,12101,55.99
raw,JovialSwallow,JovialSwallow,0.0277,1,8853,3074,16.6
raw,CalMS21_supplemental,CautiousGiraffe,0.0,3,21252,18802,55.3
raw,JovialSwallow,InvincibleJellyfish,0.0,2,11927,9980,25.86
raw,JovialSwallow,TranquilPanther,0.0,1,11927,13731,26.84
raw,JovialSwallow,CRIM13,0.0,2,11927,15028,26.47
raw,JovialSwallow,ElegantMink,0.0012,2,11927,12101,27.58
raw,JovialSwallow,CautiousGiraffe,0.0,2,11927,18802,26.27
raw,InvincibleJellyfish,CalMS21_task1,0.0107,3,9980,16572,27.0
raw,InvincibleJellyfish,CalMS21_task2,0.1579,2,9980,21770,26.3
raw,InvincibleJellyfish,InvincibleJellyfish,0.0221,5,6986,2994,20.48
raw,InvincibleJellyfish,CalMS21_supplemental,0.0076,3,9980,21252,24.63
raw,InvincibleJellyfish,JovialSwallow,0.0,2,9980,11927,24.56
raw,InvincibleJellyfish,TranquilPanther,0.0,3,9980,13731,25.48
