lab,video_id,viol_raw,viol_corr,delta_pp,correct_s
CalMS21_task1,1184726818,0.1876,0.1438,-4.38,0.02
CalMS21_task1,1089428234,0.2465,0.1778,-6.87,0.03
CalMS21_task1,1011533560,0.172,0.1139,-5.81,0.02
CalMS21_task2,1071207417,0.1874,0.1226,-6.48,0.03
CalMS21_task2,1187380328,0.1671,0.1166,-5.05,0.03
CalMS21_supplemental,1014350333,0.1728,0.1227,-5.0,0.03
CalMS21_supplemental,1017236040,0.1644,0.0959,-6.85,0.03
CalMS21_task2,1202353959,0.1477,0.0905,-5.71,0.03
JovialSwallow,1096442159,0.1981,0.2253,2.71,0.03
InvincibleJellyfish,1205744881,0.1472,0.0886,-5.86,0.02
CalMS21_supplemental,1032773418,0.1399,0.076,-6.39,0.02
InvincibleJellyfish,1239915365,0.1219,0.0719,-5.0,0.02
JovialSwallow,1337647037,0.2294,0.1933,-3.62,0.02
InvincibleJellyfish,129177073,0.1658,0.1181,-4.77,0.02
JovialSwallow,1350470271,0.2206,0.2264,0.58,0.02
CRIM13,1592386054,0.2351,0.1632,-7.2,0.01
TranquilPanther,1462669248,0.1846,0.1356,-4.9,0.02
CRIM13,1009459450,0.1822,0.1001,-8.21,0.03
TranquilPanther,1651649809,0.1575,0.1204,-3.72,0.02
CRIM13,1313797424,0.3552,0.2226,-13.25,0.02
ElegantMink,1045757672,0.1038,0.0668,-3.7,0.02
ElegantMink,1176870705,0.1361,0.096,-4.01,0.02
TranquilPanther,1582739342,0.1119,0.0537,-5.81,0.02
ElegantMink,277941336,0.1165,0.0684,-4.82,0.02
CautiousGiraffe,1657896715,0.1438,0.0755,-6.84,0.02
CautiousGiraffe,1729143180,0.1585,0.0879,-7.06,0.02
CautiousGiraffe,531143932,0.1631,0.0902,-7.28,0.02
