condition,model,f1_event_official,f1_macro_window,fit_predict_s,n_train_win,n_test_win,epochs
raw,rf,0.0842,0.137,20.14,21972,8617,
raw,histgb,0.2241,0.183,54.04,21972,8617,
raw,bilstm,0.2273,0.2173,2003.97,21972,8617,15.0
raw,gru,0.2104,0.1874,314.37,21972,8617,15.0
raw,tcn,0.2455,0.2311,2034.61,21972,8617,15.0
raw,cnn_lstm,0.2215,0.2073,3912.19,21972,8617,15.0
corr,rf,0.0576,0.0784,17.2,21972,8617,
corr,histgb,0.1822,0.138,51.89,21972,8617,
corr,bilstm,0.1877,0.1583,2025.63,21972,8617,15.0
corr,gru,0.188,0.1676,315.82,21972,8617,15.0
corr,tcn,0.2212,0.1855,2040.94,21972,8617,15.0
corr,cnn_lstm,0.1885,0.1643,3919.63,21972,8617,15.0
