lab,video_id,variant,n_frames,n_windows,elapsed_s,ms_per_frame
CalMS21_task1,1087101060,raw,4539,232,3.204,0.706
CalMS21_task1,1062887364,raw,5692,318,3.249,0.571
CalMS21_task1,1184726818,raw,5207,294,3.177,0.61
CalMS21_task1,1011533560,raw,6179,384,3.41,0.552
CalMS21_task1,1104241687,raw,5947,340,3.326,0.559
CalMS21_task1,1236987558,raw,6690,386,3.327,0.497
CalMS21_task1,1036913557,raw,9000,536,3.721,0.413
CalMS21_task1,1089428234,raw,9000,560,3.685,0.409
CalMS21_task1,1185502231,raw,9000,560,3.648,0.405
CalMS21_task1,1094966159,raw,9000,540,3.719,0.413
CalMS21_task2,1025257155,raw,6641,412,0.973,0.147
CalMS21_task2,1071207417,raw,9000,560,1.163,0.129
CalMS21_task2,1095059853,raw,9000,560,1.299,0.144
CalMS21_task2,1121857128,raw,9000,560,1.218,0.135
CalMS21_task2,117097929,raw,9000,560,1.207,0.134
CalMS21_task2,1155324226,raw,9000,560,1.28,0.142
CalMS21_task2,1187380328,raw,9000,560,1.214,0.135
CalMS21_task2,1192622510,raw,9000,560,1.266,0.141
CalMS21_task2,1202353959,raw,9000,560,1.265,0.141
CalMS21_task2,1194961658,raw,9000,560,1.318,0.146
CalMS21_supplemental,1006083669,raw,9000,560,1.238,0.138
CalMS21_supplemental,1014350333,raw,6485,402,0.942,0.145
CalMS21_supplemental,1012566686,raw,9000,560,1.208,0.134
CalMS21_supplemental,1012566850,raw,9000,560,1.194,0.133
CalMS21_supplemental,1013428301,raw,9000,560,1.233,0.137
CalMS21_supplemental,1015291592,raw,9000,560,1.235,0.137
CalMS21_supplemental,1019240807,raw,7089,440,0.943,0.133
CalMS21_supplemental,1017236040,raw,9000,560,1.141,0.127
CalMS21_supplemental,1032773418,raw,9000,560,1.174,0.13
CalMS21_supplemental,1039672228,raw,9000,560,1.223,0.136
JovialSwallow,1096442159,raw,9000,437,1.083,0.12
JovialSwallow,1164701770,raw,9000,349,0.976,0.108
