model,fold,test_video,f1_eval,f1_full,f1_event
bilstm,0,1185502231,0.6468,0.2587,0.5256
bilstm,1,1296577409,0.5065,0.2532,0.32
bilstm,2,1495692909,0.7374,0.4424,0.5789
bilstm,3,1522870122,0.6593,0.2198,0.5713
bilstm,4,1682584277,0.5738,0.4303,0.5386
bilstm,5,169344990,0.6938,0.3469,0.5938
bilstm,6,1733083885,0.7106,0.5329,0.6088
bilstm,7,1767632325,0.4407,0.3526,0.4074
bilstm,8,1817903677,0.3635,0.1363,0.2089
bilstm,9,1842114740,0.7299,0.5474,0.6043
bilstm,10,2097395874,0.9145,0.6097,0.5998
bilstm,11,464367887,0.881,0.2517,0.6897
bilstm,12,470631683,0.7839,0.5879,0.6199
bilstm,13,537514760,0.7419,0.2473,0.6646
bilstm,14,662173177,0.7144,0.2381,0.4792
bilstm,15,687327340,0.9152,0.2615,0.8062
bilstm,16,865512963,0.8818,0.2939,0.7238
bilstm,17,867864385,0.8443,0.2412,0.7668
bilstm,18,87423842,0.8161,0.4081,0.5607
bilstm,19,99618595,0.7586,0.5689,0.671
tcn,0,1185502231,0.6556,0.2185,0.549
tcn,1,1296577409,0.5464,0.4098,0.3367
tcn,2,1495692909,0.7606,0.4563,0.6186
tcn,3,1522870122,0.7093,0.2026,0.5823
tcn,4,1682584277,0.5862,0.3517,0.4938
tcn,5,169344990,0.6944,0.3472,0.586
tcn,6,1733083885,0.7187,0.4312,0.6009
tcn,7,1767632325,0.4312,0.2874,0.4076
tcn,8,1817903677,0.3204,0.1373,0.2222
tcn,9,1842114740,0.7481,0.7481,0.6
tcn,10,2097395874,0.8364,0.4182,0.5214
tcn,11,464367887,0.8401,0.3361,0.6499
tcn,12,470631683,0.7155,0.7155,0.5915
tcn,13,537514760,0.7084,0.3542,0.6296
tcn,14,662173177,0.7525,0.215,0.4829
tcn,15,687327340,0.8943,0.2555,0.7867
tcn,16,865512963,0.8617,0.3447,0.7081
tcn,17,867864385,0.7578,0.1895,0.6875
tcn,18,87423842,0.8461,0.4231,0.5529
tcn,19,99618595,0.7305,0.3131,0.6378
