model,fold,test_video,f1_eval,f1_full,f1_event
rf,0,1185502231,0.6416,0.4277,0.5271
rf,1,1296577409,0.3897,0.2923,0.2579
rf,2,1495692909,0.5649,0.3389,0.5389
rf,3,1522870122,0.6141,0.3071,0.5098
rf,4,1682584277,0.4795,0.3596,0.4448
rf,5,169344990,0.6849,0.3424,0.5994
rf,6,1733083885,0.6786,0.4072,0.6039
rf,7,1767632325,0.2983,0.2983,0.2365
rf,8,1817903677,0.1685,0.0722,0.1057
rf,9,1842114740,0.5169,0.3877,0.4723
rf,10,2097395874,0.8965,0.5976,0.5739
rf,11,464367887,0.8305,0.4153,0.7067
rf,12,470631683,0.5937,0.4452,0.5622
rf,13,537514760,0.6464,0.3232,0.5795
rf,14,662173177,0.7246,0.3623,0.4708
rf,15,687327340,0.9404,0.4702,0.8243
rf,16,865512963,0.8931,0.4465,0.7495
rf,17,867864385,0.961,0.3844,0.8442
rf,18,87423842,0.843,0.843,0.5609
rf,19,99618595,0.5364,0.4023,0.4935
histgb,0,1185502231,0.6599,0.33,0.5603
histgb,1,1296577409,0.4901,0.294,0.3088
histgb,2,1495692909,0.6384,0.4788,0.6138
histgb,3,1522870122,0.6954,0.4636,0.5839
histgb,4,1682584277,0.6332,0.6332,0.5844
histgb,5,169344990,0.7158,0.4772,0.6231
histgb,6,1733083885,0.7144,0.4287,0.6255
histgb,7,1767632325,0.3941,0.3941,0.3563
histgb,8,1817903677,0.2186,0.0937,0.1665
histgb,9,1842114740,0.6862,0.5146,0.6136
histgb,10,2097395874,0.8779,0.4389,0.5658
histgb,11,464367887,0.8888,0.4444,0.6978
histgb,12,470631683,0.6988,0.5241,0.6164
histgb,13,537514760,0.736,0.368,0.6503
histgb,14,662173177,0.7279,0.2912,0.4719
histgb,15,687327340,0.9298,0.4649,0.8144
histgb,16,865512963,0.8911,0.4455,0.7391
histgb,17,867864385,0.8641,0.3456,0.7789
histgb,18,87423842,0.8524,0.8524,0.5715
histgb,19,99618595,0.739,0.5543,0.6468
