model,cond,fold,test_video,f1_event,f1_macro_eval
rf,baseline,0,1185502231,0.5271,0.6416
rf,noise_aug,0,1185502231,0.5503,0.6331
rf,baseline,1,1296577409,0.2579,0.3897
rf,noise_aug,1,1296577409,0.2559,0.3819
rf,baseline,2,1495692909,0.5389,0.5649
rf,noise_aug,2,1495692909,0.5518,0.5719
rf,baseline,3,1522870122,0.5098,0.6141
rf,noise_aug,3,1522870122,0.4778,0.5882
rf,baseline,4,1682584277,0.4448,0.4795
rf,noise_aug,4,1682584277,0.482,0.4912
rf,baseline,5,169344990,0.5994,0.6849
rf,noise_aug,5,169344990,0.6,0.6693
rf,baseline,6,1733083885,0.6039,0.6786
rf,noise_aug,6,1733083885,0.5745,0.6529
rf,baseline,7,1767632325,0.2365,0.2983
rf,noise_aug,7,1767632325,0.1471,0.1939
rf,baseline,8,1817903677,0.1057,0.1685
rf,noise_aug,8,1817903677,0.0985,0.163
rf,baseline,9,1842114740,0.4723,0.5169
rf,noise_aug,9,1842114740,0.4623,0.5322
rf,baseline,10,2097395874,0.5739,0.8965
rf,noise_aug,10,2097395874,0.5724,0.8795
rf,baseline,11,464367887,0.7067,0.8305
rf,noise_aug,11,464367887,0.7112,0.8229
rf,baseline,12,470631683,0.5622,0.5937
rf,noise_aug,12,470631683,0.4457,0.4852
rf,baseline,13,537514760,0.5795,0.6464
rf,noise_aug,13,537514760,0.5976,0.6557
rf,baseline,14,662173177,0.4708,0.7246
rf,noise_aug,14,662173177,0.4648,0.6937
rf,baseline,15,687327340,0.8243,0.9404
rf,noise_aug,15,687327340,0.8265,0.947
rf,baseline,16,865512963,0.7495,0.8931
rf,noise_aug,16,865512963,0.7547,0.8962
rf,baseline,17,867864385,0.8442,0.961
rf,noise_aug,17,867864385,0.8383,0.9528
rf,baseline,18,87423842,0.5609,0.843
rf,noise_aug,18,87423842,0.5667,0.828
rf,baseline,19,99618595,0.4935,0.5364
rf,noise_aug,19,99618595,0.4795,0.5138
