test_video,eval_nr,noisy_raw,eval_nc,noisy_corr,clean_raw
1185502231,0.4612,0.3051,0.4565,0.3066,0.5271
1296577409,0.3871,0.2622,0.3828,0.2598,0.2579
1495692909,0.4367,0.3523,0.3693,0.3499,0.5389
1522870122,0.4542,0.35,0.4405,0.3173,0.5098
1682584277,0.2849,0.1907,0.2851,0.1914,0.4448
169344990,0.4776,0.4037,0.4408,0.3478,0.5994
1733083885,0.3501,0.3296,0.4312,0.3762,0.6039
1767632325,0.1934,0.1475,0.2097,0.1644,0.2365
1817903677,0.1143,0.0855,0.0,0.0,0.1057
1842114740,0.3759,0.3211,0.368,0.2744,0.4723
2097395874,0.8417,0.5449,0.809,0.5467,0.5739
464367887,0.8297,0.6971,0.7963,0.6669,0.7067
470631683,0.4415,0.3811,0.3409,0.2503,0.5622
537514760,0.4358,0.3722,0.4098,0.3483,0.5795
662173177,0.6577,0.4597,0.644,0.4353,0.4708
687327340,0.8856,0.7665,0.9041,0.7839,0.8243
865512963,0.8405,0.7098,0.881,0.7379,0.7495
867864385,0.9063,0.7975,0.9469,0.8371,0.8442
87423842,0.6217,0.4721,0.7229,0.5374,0.5609
99618595,0.342,0.2797,0.3142,0.2459,0.4935
