strategy,seed,aulc,f1_final,n_labels_to_90pct_best,wasted_queries,waste_pct
random,42,0.29,0.6119,26,80,80.0
random,123,0.2981,0.7228,20,82,82.0
random,456,0.3377,0.7183,35,74,74.0
least_confidence,42,0.3908,0.6824,28,65,65.0
least_confidence,123,0.402,0.7749,43,70,70.0
least_confidence,456,0.3189,0.657,48,70,70.0
margin,42,0.3991,0.7378,28,69,69.0
margin,123,0.3463,0.7273,33,80,80.0
margin,456,0.3707,0.6354,36,67,67.0
entropy,42,0.3127,0.7162,34,78,78.0
entropy,123,0.4091,0.6874,20,69,69.0
entropy,456,0.3084,0.6428,43,72,72.0
bald,42,0.3748,0.6938,40,68,68.0
bald,123,0.3115,0.6599,25,83,83.0
bald,456,0.3496,0.7013,53,67,67.0
coreset,42,0.1427,0.5749,23,93,93.0
coreset,123,0.1492,0.6645,20,94,94.0
coreset,456,0.1752,0.5674,21,91,91.0
badge,42,0.3322,0.6613,29,77,77.0
badge,123,0.3542,0.6802,24,78,78.0
badge,456,0.3045,0.6517,31,75,75.0
hybrid,42,0.1322,0.5928,20,94,94.0
hybrid,123,0.152,0.6257,20,94,94.0
hybrid,456,0.1289,0.6469,24,94,94.0
combined,42,0.2342,0.5885,22,87,87.0
combined,123,0.3065,0.6409,21,83,83.0
combined,456,0.2906,0.6003,37,74,74.0
hybrid_schedule,42,0.3377,0.7247,30,77,77.0
hybrid_schedule,123,0.3603,0.6949,20,76,76.0
hybrid_schedule,456,0.2981,0.5924,30,78,78.0
