Strategy,AULC (μ±σ),F1_final (μ±σ),N_labels_90%best,Wasted %
margin,0.3720 ± 0.0216,0.7002 ± 0.0460,33,72.0 ± 5.7
least_confidence,0.3706 ± 0.0368,0.7048 ± 0.0507,43,68.3 ± 2.4
bald,0.3453 ± 0.0260,0.6850 ± 0.0180,40,72.7 ± 7.3
entropy,0.3434 ± 0.0465,0.6821 ± 0.0302,34,73.0 ± 3.7
hybrid_schedule,0.3320 ± 0.0257,0.6707 ± 0.0567,30,77.0 ± 0.8
badge,0.3303 ± 0.0203,0.6644 ± 0.0118,29,76.7 ± 1.2
random,0.3086 ± 0.0208,0.6844 ± 0.0513,26,78.7 ± 3.4
combined,0.2771 ± 0.0310,0.6099 ± 0.0225,22,81.3 ± 5.4
coreset,0.1557 ± 0.0141,0.6023 ± 0.0441,21,92.7 ± 1.2
hybrid,0.1377 ± 0.0102,0.6218 ± 0.0223,20,94.0 ± 0.0
