test_video,f1_eval,f1_full,f1_event
1185502231,0.7208,0.2403,0.5687
1296577409,0.5278,0.2262,0.3042
1495692909,0.7221,0.3611,0.6027
1522870122,0.6792,0.2717,0.5721
1682584277,0.6871,0.4122,0.5703
169344990,0.7189,0.2876,0.6081
1733083885,0.6834,0.41,0.5539
1767632325,0.3634,0.2423,0.3395
1817903677,0.2619,0.1122,0.1584
1842114740,0.6824,0.5118,0.5526
2097395874,0.8308,0.4154,0.5652
464367887,0.8101,0.2315,0.6297
470631683,0.7071,0.5303,0.5744
537514760,0.7282,0.2081,0.6543
662173177,0.6785,0.1939,0.4467
687327340,0.8864,0.2955,0.7963
865512963,0.8558,0.2853,0.7248
867864385,0.775,0.31,0.7161
87423842,0.7947,0.5298,0.5595
99618595,0.7099,0.4259,0.5868
