test_video,f1_eval,f1_full,f1_event
1185502231,0.6978,0.3489,0.5332
1296577409,0.5095,0.2183,0.3141
1495692909,0.6905,0.4143,0.5847
1522870122,0.6732,0.3366,0.5611
1682584277,0.6869,0.4121,0.5936
169344990,0.7161,0.2387,0.6026
1733083885,0.6644,0.4983,0.5968
1767632325,0.4185,0.3348,0.3902
1817903677,0.2949,0.1264,0.2145
1842114740,0.6362,0.3817,0.5262
2097395874,0.8143,0.3257,0.5368
464367887,0.8222,0.2349,0.6528
470631683,0.7417,0.5563,0.6102
537514760,0.696,0.1989,0.6473
662173177,0.6451,0.1843,0.4347
687327340,0.8734,0.2911,0.7663
865512963,0.8741,0.3496,0.7247
867864385,0.7194,0.2056,0.7012
87423842,0.7692,0.3846,0.5408
99618595,0.7388,0.3694,0.6144
