test_video,f1_eval,f1_full,f1_event
1185502231,0.6785,0.3393,0.5405
1296577409,0.5111,0.2556,0.3212
1495692909,0.7635,0.4581,0.6377
1522870122,0.7131,0.2377,0.5788
1682584277,0.6535,0.3921,0.5901
169344990,0.766,0.766,0.6314
1733083885,0.7149,0.4289,0.6151
1767632325,0.5174,0.345,0.5102
1817903677,0.415,0.1556,0.2301
1842114740,0.7013,0.526,0.5922
2097395874,0.8831,0.4416,0.5697
464367887,0.875,0.35,0.6695
470631683,0.7934,0.595,0.6377
537514760,0.7288,0.2082,0.6383
662173177,0.732,0.244,0.4747
687327340,0.9089,0.303,0.7967
865512963,0.8787,0.3515,0.7144
867864385,0.8015,0.2004,0.7218
87423842,0.8195,0.4097,0.5408
99618595,0.7118,0.4271,0.6274
